id,outcome1,outcome2,outcome3,numofdraw,jar
0,0,0,1,3,1
1,2,2,2,0,0
2,2,2,2,0,1
3,1,1,2,2,0
4,0,0,2,2,1
5,0,2,2,1,0
6,1,2,2,1,0
7,0,2,2,1,1
8,2,2,2,0,1
9,0,0,0,3,1
10,1,2,2,1,0
11,0,0,1,3,1
12,2,2,2,0,0
13,2,2,2,0,0
14,0,2,2,1,0
15,1,2,2,1,0
16,1,2,2,1,0
17,1,2,2,1,0
18,0,2,2,1,1
19,1,0,2,2,1
20,2,2,2,0,0
21,1,1,2,2,0
22,0,0,0,3,1
23,0,2,2,1,1
24,1,2,2,1,0
25,1,1,1,3,0
26,0,1,2,2,1
27,1,1,2,2,0
28,1,0,2,2,0
29,1,0,0,3,1
30,1,0,2,2,1
31,1,0,2,2,1
32,2,2,2,0,0
33,1,2,2,1,0
34,0,0,2,2,0
35,2,2,2,0,0
36,0,2,2,1,0
37,1,0,2,2,1
38,1,2,2,1,0
39,2,2,2,0,0
40,1,1,2,2,0
41,0,2,2,1,0
42,1,1,2,2,0
43,0,2,2,1,1
44,2,2,2,0,1
45,0,2,2,1,1
46,0,2,2,1,1
47,2,2,2,0,1
48,2,2,2,0,1
49,1,0,1,3,1
50,1,0,0,3,1
51,1,2,2,1,1
52,1,1,0,3,0
53,1,1,2,2,0
54,0,2,2,1,1
55,1,2,2,1,0
56,0,1,2,2,0
57,0,0,2,2,1
58,0,2,2,1,0
59,2,2,2,0,1
60,1,2,2,1,0
61,0,2,2,1,0
62,1,2,2,1,0
63,2,2,2,0,1
64,2,2,2,0,1
65,0,1,2,2,0
66,0,1,2,2,0
67,0,0,1,3,1
68,2,2,2,0,0
69,1,0,2,2,1
70,0,1,2,2,0
71,1,1,2,2,0
72,2,2,2,0,0
73,0,0,2,2,1
74,1,0,2,2,1
75,2,2,2,0,1
76,0,0,2,2,0
77,0,1,2,2,0
78,0,1,1,3,0
79,1,2,2,1,0
80,1,2,2,1,1
81,2,2,2,0,0
82,0,2,2,1,1
83,1,1,1,3,0
84,1,2,2,1,1
85,2,2,2,0,1
86,0,2,2,1,1
87,1,1,1,3,0
88,2,2,2,0,0
89,0,2,2,1,1
90,2,2,2,0,0
91,1,0,0,3,0
92,0,1,2,2,1
93,0,2,2,1,1
94,1,0,1,3,1
95,0,1,2,2,0
96,2,2,2,0,0
97,1,0,2,2,0
98,1,0,2,2,1
99,2,2,2,0,1
100,1,1,2,2,1
101,1,1,0,3,0
